Unnamed: 0,Temp_min,Temp_max,pH_min,pH_max,conduc_min,conduc_max,bod_min,bod_max,nitrate_min,nitrate_max,Fcoli_min,Fcoli_max,Tcoli_min,Tcoli_max,Tds_min,Tds_max,F_min,F_max,Ar_min,Ar_max
312,29.0,29.0,7.8,8.5,1245.0,1801.0,1.0,1.0,0.3,0.3,2.0,2.0,2.0,2.0,582.0,958.0,0.6,0.9,-1.0,-1.0
313,33.0,33.0,8.5,8.5,2704.0,2704.0,1.0,1.0,0.4,0.4,2.0,2.0,2.0,2.0,1648.0,1648.0,0.4,0.4,0.001,0.001
314,29.0,29.0,7.1,7.3,5864.0,7630.0,1.0,1.0,0.3,0.3,2.0,2.0,2.0,2.0,3622.0,4930.0,0.2,0.6,-1.0,-1.0
315,30.0,30.0,7.3,8.5,1298.0,1442.0,1.0,1.0,0.3,0.3,2.0,2.0,2.0,2.0,826.0,910.0,0.9,1.0,0.001,0.002
316,28.0,30.0,7.4,7.8,13790.0,14110.0,1.0,2.9,0.3,0.6,2.0,2.0,2.0,2.0,8384.0,8606.0,0.2,0.6,0.001,0.001
317,29.0,30.0,7.8,8.1,1294.0,2039.0,1.0,2.0,0.3,0.7,2.0,2.0,2.0,2.0,786.0,1242.0,0.2,0.2,0.001,0.001
318,25.0,26.0,6.9,8.1,382.0,1515.0,1.0,1.0,0.34,0.9,2.0,2.0,2.0,2.0,210.0,910.0,0.9,0.9,0.001,0.001
319,25.0,26.0,7.2,8.0,1003.0,1323.0,1.0,1.0,0.38,1.0,2.0,2.0,2.0,2.0,588.0,734.0,0.7,0.8,0.001,0.001
320,5.2,5.2,7.4,7.4,810.0,4330.0,1.8,5.0,0.3,5.6,3200.0,3200.0,30.0,8400.0,464.0,2360.0,2.1,2.1,-1.0,-1.0
321,-1.0,-1.0,8.3,8.3,973.0,973.0,1.4,1.4,0.3,0.3,-1.0,-1.0,20.0,20.0,530.0,530.0,2.0,2.0,-1.0,-1.0
322,33.1,33.1,7.4,7.4,1590.0,1590.0,-1.0,-1.0,-1.0,-1.0,160.0,160.0,2100.0,2100.0,748.0,748.0,-1.0,-1.0,-1.0,-1.0
323,13.0,23.0,7.2,7.3,654.0,1140.0,1.0,1.0,-1.0,-1.0,2.0,2.0,2.0,2.0,360.0,630.0,0.2,0.2,-1.0,-1.0
324,-1.0,-1.0,7.8,7.8,318.0,796.0,1.0,4.5,1.0,1.0,490.0,490.0,3500.0,3500.0,220.0,478.0,0.3,0.3,0.001,0.001
325,-1.0,-1.0,8.1,8.2,940.0,990.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,568.0,592.0,-1.0,-1.0,-1.0,-1.0
326,-1.0,-1.0,8.0,8.1,1380.0,1510.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,840.0,896.0,-1.0,-1.0,-1.0,-1.0
327,-1.0,-1.0,8.5,8.5,1156.0,1156.0,1.5,1.5,0.3,0.3,-1.0,-1.0,30.0,30.0,328.0,328.0,0.7,0.7,-1.0,-1.0
328,-1.0,-1.0,8.3,8.3,1788.0,1788.0,1.0,1.0,0.3,0.3,-1.0,-1.0,20.0,20.0,978.0,978.0,-1.0,-1.0,-1.0,-1.0
329,-1.0,-1.0,7.2,7.2,4510.0,4510.0,1.0,1.0,0.3,0.3,-1.0,-1.0,-1.0,-1.0,2480.0,2480.0,0.7,0.7,-1.0,-1.0
330,-1.0,-1.0,7.7,7.7,5740.0,5740.0,1.0,1.0,0.3,0.3,-1.0,-1.0,-1.0,-1.0,3160.0,3160.0,1.2,1.2,-1.0,-1.0
331,-1.0,-1.0,7.2,7.5,3140.0,4190.0,1.0,1.0,0.3,0.3,-1.0,-1.0,-1.0,-1.0,1730.0,2310.0,0.7,0.8,-1.0,-1.0
332,-1.0,-1.0,8.3,8.3,1160.0,1160.0,1.0,1.0,0.3,0.3,-1.0,-1.0,10.0,10.0,630.0,630.0,0.7,0.7,-1.0,-1.0
333,-1.0,-1.0,8.1,8.1,1655.0,1655.0,1.2,1.2,0.3,0.3,-1.0,-1.0,20.0,20.0,904.0,904.0,0.7,0.7,-1.0,-1.0
334,-1.0,-1.0,8.3,8.3,1291.0,1291.0,1.4,1.4,0.3,0.3,-1.0,-1.0,20.0,20.0,710.0,710.0,0.7,0.7,-1.0,-1.0
335,-1.0,-1.0,7.2,7.7,2380.0,2750.0,1.0,1.0,-1.0,-1.0,2.0,2.0,2.0,2.0,1310.0,1510.0,0.2,0.6,-1.0,-1.0
336,-1.0,-1.0,7.5,7.8,912.0,982.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,510.0,587.0,-1.0,-1.0,-1.0,-1.0
337,-1.0,-1.0,7.8,8.0,1150.0,1240.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,698.0,750.0,-1.0,-1.0,-1.0,-1.0
338,21.5,23.0,7.2,7.5,373.0,417.0,1.0,1.0,0.3,0.53,2.0,2.0,33.0,33.0,238.0,276.0,0.2,0.2,-1.0,-1.0
339,23.0,28.0,7.9,8.1,491.0,632.0,1.0,1.0,-1.0,-1.0,2.0,2.0,2.0,2.0,248.0,348.0,0.2,0.2,0.001,0.001
340,24.0,24.0,8.1,8.1,591.0,591.0,1.0,1.0,-1.0,-1.0,2.0,2.0,2.0,2.0,324.0,324.0,-1.0,-1.0,0.001,0.001
341,23.0,25.0,7.5,8.1,529.0,599.0,1.0,1.0,-1.0,-1.0,2.0,2.0,2.0,2.0,310.0,315.0,0.2,0.2,0.001,0.001
